STATE/UT,Rape,KIDNAPPING & ABDUCTION,DOWRY DEATH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO THE MODESTY OF WOMEN,CRUELTY BY HUSBAND OR RELATIVES ,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Sum,Check
Andhra Pradesh,871,765,420,3544,2271,5791,1332,925,15919,FALSE
Arunachal Pradesh,33,55,0,78,3,11,0,0,180,TRUE
Assam,817,1070,59,850,4,1248,6,10,4064,FALSE
Bihar,888,518,859,562,21,1558,29,3,4438,FALSE
Chhattisgarh,959,171,70,1763,161,840,12,0,3976,FALSE
Goa,12,6,2,17,7,11,28,0,83,TRUE
Gujarat,286,857,67,756,111,3667,61,0,5805,TRUE
Haryana,398,297,285,478,401,1513,21,0,3393,TRUE
Himachal Pradesh,124,105,10,310,14,317,1,0,881,FALSE
Jammu & Kashmir,169,504,13,622,288,50,7,0,1653,FALSE
Jharkhand,567,279,217,297,5,484,3,0,1852,FALSE
Karnataka,293,271,220,1665,81,1755,1356,0,5641,FALSE
Kerala,562,97,27,1942,81,2561,132,42,5444,FALSE
Madhya Pradesh,2851,668,609,7063,751,2562,15,0,14519,FALSE
Maharashtra,1302,611,308,2823,1120,6090,233,9,12496,FALSE
Manipur,20,62,0,21,0,5,4,0,112,TRUE
Meghalaya,26,11,0,25,0,4,0,0,66,TRUE
Mizoram,52,1,0,52,0,16,2,0,123,FALSE
Nagaland,17,6,0,6,0,0,1,0,30,TRUE
Odisha,790,434,294,1655,458,1266,24,0,4921,FALSE
Punjab,298,324,159,372,47,1128,32,1,2361,TRUE
Rajasthan,1049,2165,376,2878,56,5532,68,46,12170,FALSE
Sikkim,8,2,0,0,14,0,0,0,24,TRUE
Tamil Nadu,423,607,191,1773,1012,815,5232,11,10064,FALSE
Tripura,102,35,16,58,0,227,0,0,438,TRUE
Uttar Pradesh,1958,2879,2211,2870,2575,7365,26,3,19887,FALSE
Uttarakhand,74,126,56,103,84,301,0,0,744,FALSE
West Bengal,709,695,265,954,48,3859,31,0,6561,FALSE
A&N Islands,3,2,0,19,1,9,0,0,34,TRUE
Chandigarh,18,50,3,24,15,36,3,1,150,TRUE
