STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,10.6777030522504,21.1251939989653,1.20538023797206,0.902741852043456,2.35126745990688,5.9130884635282,2.40817382307294,2.44697361614071
Arunachal Pradesh,8.082706766917289,2.63157894736842,0.0,0.0,0.0,0.0,9.58646616541353,5.82706766917293
Assam,6.602496616032491,13.596029478117002,0.4511956685215821,0.165438411791247,0.0,0.045119566852158,10.159422469544301,8.234320950518871
Bihar,1.6647309330236202,4.5489740611691785,2.19947735191638,0.021777003484321,0.002419667053813,0.026616337591947,1.63085559427023,2.38337204800619
Chhattisgarh,13.808857808857804,5.6037296037296,0.7365967365967371,0.065268065268065,0.0,0.979020979020979,1.38927738927739,8.37296037296037
Goa,2.85285285285285,3.6036036036036,0.3003003003003,3.7537537537537498,0.0,1.05105105105105,1.95195195195195,4.65465465465466
Gujarat,2.8792470888499,14.691338331472304,0.215345350135588,0.295102887222843,0.055830275961078,0.366884670601372,3.4255862178975898,0.941138937629606
Haryana,3.3828301701248904,15.911102369947901,2.18310551676664,0.560527092142787,0.0,12.8036188415773,2.66496213983676,3.4713344478316497
Himachal Pradesh,8.16193274567418,7.21514854717597,0.19588638589618,0.163238654913483,0.0,0.587659157688541,3.13418217433888,4.11361410381978
Jammu & Kashmir,17.7018005259964,1.4363746712522802,0.202306291725673,0.040461258345135004,0.0,7.60671656888529,12.4418369411289,4.26866275541169
Jharkhand,3.131924951987,4.12911803811494,1.93529324863348,0.044319692716797005,0.0,0.014773230905599,1.93529324863348,5.25927020239326
Karnataka,5.94434443444345,6.39063906390639,0.727572757275728,5.1042604260425986,0.0,0.315031503150315,0.915091509150915,1.2038703870387
Kerala,11.6866746698679,17.5870348139256,0.198079231692677,0.95438175270108,0.096038415366147,0.408163265306122,0.612244897959184,2.36494597839136
Madhya Pradesh,22.7742858093053,9.77086035451794,2.15504340017959,0.10974758056470098,0.0,2.34460740297316,2.02201602979813,9.10572350261066
Maharashtra,5.54883643339728,11.368754691800802,0.7673700892484779,0.37325882058553705,0.016681958461924,1.4221369588789698,1.30536324964551,2.64409041621486
Manipur,4.0,0.363636363636364,0.0,0.0,0.0,0.0,6.4545454545454515,1.6363636363636398
Meghalaya,1.1082693947144098,0.341005967604433,0.0,0.085251491901108,0.0,0.085251491901108,0.8525149190110829,3.41005967604433
Mizoram,19.9546485260771,0.680272108843537,0.0,0.0,0.0,0.0,0.453514739229025,12.2448979591837
Nagaland,0.413223140495868,0.0,0.0,0.103305785123967,0.0,0.206611570247934,0.30991735537190096,1.44628099173554
Odisha,8.98277717976319,6.93756727664155,1.5016146393972,0.05920344456404701,0.0,1.01184068891281,2.0075349838536103,3.90204520990312
Punjab,2.9656295534413304,8.45975829262021,0.94283020485129,0.4628439187451789,0.008571183680465999,1.7056655524127902,2.52849918573755,3.25704979857718
Rajasthan,9.63415066889039,20.3434938433696,1.3803626556900002,0.18097299599020605,0.30871864021858697,0.117100173876016,6.2098577055462885,3.72591462332777
Sikkim,9.65250965250965,0.386100386100386,0.0,0.386100386100386,0.0,0.0,0.0,3.86100386100386
Tamil Nadu,6.400151932390091,4.921976387174371,0.696356787896053,8.986167821985882,0.018991548760802,2.78859240971101,2.00044313613775,1.76304877662773
Tripura,7.94246404002502,15.4471544715447,1.25078173858662,0.0,0.0,0.0,1.81363352095059,7.12945590994371
Uttar Pradesh,1.34210140321713,3.2097980736322302,1.61589986799003,0.057448785019313,0.0,6.07490343714858,1.83224954774361,1.11352857771476
Uttarakhand,3.15838365071993,7.361820715281,2.15977705527171,0.0,0.0,2.27589410125406,3.1119368323269905,2.48490478402229
West Bengal,2.98004924870597,12.4327855671139,0.8266747072717221,0.381928740137695,0.002512689079853,0.17840092466958102,2.01266395296246,2.51771445801297
A&N Islands,5.32544378698225,4.142011834319529,0.0,0.0,0.0,1.18343195266272,1.18343195266272,1.18343195266272
Chandigarh,2.66990291262136,22.572815533980602,0.242718446601942,0.9708737864077672,0.0,0.9708737864077672,6.79611650485437,4.36893203883495
D&N Haveli,4.25531914893617,2.12765957446808,0.0,2.12765957446808,0.0,0.0,4.25531914893617,1.06382978723404
Daman & Diu,4.0,0.0,1.33333333333333,0.0,0.0,0.0,1.33333333333333,6.66666666666667
Delhi UT,7.3956442831216,18.3151845130067,1.9661222020568705,0.695704779189353,0.0,1.58802177858439,12.0538415003025,7.4107683000605
Lakshadweep,3.03030303030303,3.03030303030303,0.0,0.0,0.0,0.0,0.0,6.06060606060606
Puducherry,11.2449799196787,0.803212851405622,0.200803212851406,2.61044176706827,0.0,5.42168674698795,2.61044176706827,0.401606425702811
