STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,4406,11335,613,612,1005,3316,1564,1070
Arunachal Pradesh,72,20,0,0,0,1,44,48
Assam,789,3000,100,21,0,10,1471,1437
Bihar,853,1635,1172,27,0,12,1260,1555
Chhattisgarh,1549,824,100,14,0,111,181,982
Goa,20,14,2,10,0,7,7,20
Gujarat,822,5827,42,44,0,120,1089,316
Haryana,417,2412,269,88,0,409,554,488
Himachal Pradesh,322,342,8,0,0,33,150,159
Jammu & Kashmir,986,176,9,1,0,353,707,288
Jharkhand,342,801,303,14,0,15,534,855
Karnataka,1828,2507,251,612,0,28,390,436
Kerala,2624,3999,27,201,26,262,177,512
Madhya Pradesh,6772,3294,742,19,0,780,701,3010
Maharashtra,3306,7356,436,322,2,1039,967,1451
Manipur,70,15,0,0,0,0,83,20
Meghalaya,45,19,2,1,0,1,22,82
Mizoram,66,2,0,0,0,0,0,83
Nagaland,8,0,0,4,0,1,6,13
Odisha,2775,728,461,40,0,241,660,939
Punjab,427,971,133,45,0,48,545,519
Rajasthan,2477,8170,439,91,131,28,1694,1238
Sikkim,13,7,0,2,0,0,9,24
Tamil Nadu,1540,1976,208,1199,25,875,1097,523
Tripura,244,545,36,0,0,4,81,157
Uttar Pradesh,2522,7650,2076,49,0,2882,3363,1648
Uttarakhand,146,463,70,9,0,63,227,117
West Bengal,2281,9900,451,62,10,99,1590,2106
A&N Islands,21,18,1,1,0,2,9,3
Chandigarh,32,112,1,5,1,11,46,22
D&N Haveli,0,3,0,2,0,0,6,7
Daman & Diu,0,3,1,5,0,0,1,1
Delhi UT,868,1787,138,63,0,167,1167,598
Lakshadweep,2,2,0,0,0,0,0,1
Puducherry,89,17,2,5,0,32,14,9
