STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,RAPE,2.31138709763023,2.62447942586238,2.44697361614071,2.59653965089831,2.36188647788415,2.62014187231492,2.64367248109898,3.07334963325183,2.87539936102236,3.26430831176301,3.42322666413446,3.1540325046452
Arunachal Pradesh,RAPE,6.37065637065637,7.23809523809524,5.82706766917293,7.79220779220779,6.41025641025641,6.69077757685353,8.57142857142857,7.40740740740741,10.2966841186736,8.10344827586207,7.15502555366269,7.74410774410774
Assam,RAPE,6.34415281876068,7.41023682200153,8.23432095051887,8.67343159765943,9.03517734637279,8.94835275499928,10.1922122136322,10.0601651042395,11.2591467623913,11.7250306581278,11.4324142568931,11.3936657592457
Bihar,RAPE,2.23368129794994,2.56486139883595,2.38337204800619,3.30213332066328,2.67696688216211,2.82659569586565,3.50920743816573,2.8917268184342,2.03175575190272,1.71302980025426,1.9838572642311,1.94184926054715
Chhattisgarh,RAPE,9.25675675675676,9.40819423368741,8.37296037296037,8.88827738029719,8.93824485373781,8.84523068717219,8.59970225063491,8.44049365668422,8.30426274142772,8.49207015188386,8.71616588030792,8.44495262985952
Goa,RAPE,1.81818181818182,1.82370820668693,4.65465465465466,5.44117647058824,2.86944045911047,2.93296089385475,2.71370420624152,3.93184796854522,5.94184576485461,4.40097799511003,3.44827586206897,6.38051044083527
Gujarat,RAPE,1.17768169652049,1.08167233835683,0.941138937629606,1.33134351804579,1.25367590156323,1.35011441647597,1.18841669800677,1.38754915782444,1.5853256690953,1.47468102793942,1.56696173615077,1.66790084276597
Haryana,RAPE,4.06911358756773,3.61904761904762,3.47133444783165,3.7251495850222,4.36759829464709,5.65791922575842,4.46232626188734,5.67191011235955,5.33015115354018,6.26086956521739,6.27299957210099,5.62810683292611
Himachal Pradesh,RAPE,4.14715719063545,4.52593326726132,4.11361410381978,4.93867010974823,4.50191570881226,3.56917245735944,4.97030321975617,4.85917672547199,5.61005518087063,4.85879137564531,5.05719446116797,5.46105640107431
Jammu & Kashmir,RAPE,3.53334727158687,3.9489921842863,4.26866275541169,4.33917197452229,3.93731635651322,4.82160077145612,5.47008547008547,4.09728718428438,4.36946902654867,4.4529262086514,4.96504749955189,5.35903784931022
